v /net04; ac dB20(V) X,v /net04; ac dB20(V) Y,v /net04; ac deg(V) X,v /net04; ac deg(V) Y
1,-0.0001714495478400169,1,-0.3599959826878878
1.737800828749376,-0.0005177487140743074,1.737800828749376,-0.6255846889884414
3.019951720402017,-0.001563387894599207,3.019951720402017,-1.087054342389508
5.248074602497727,-0.004719640434678408,5.248074602497727,-1.88862631575251
9.1201083935591,-0.01423747087221876,9.1201083935591,-3.279658948079073
15.84893192461114,-0.04285489249591297,15.84893192461114,-5.686878305216908
27.54228703338168,-0.1281508869408935,27.54228703338168,-9.818005661374912
47.86300923226386,-0.3760177838251424,47.86300923226386,-16.7377552587522
83.17637711026714,-1.048708642056293,83.17637711026714,-27.59218840874674
144.5439770745928,-2.612206750164474,144.5439770745928,-42.24570229192825
251.1886431509581,-5.429404854994031,251.1886431509581,-57.641473295446
436.5158322401662,-9.305656054928148,436.5158322401662,-69.96817280347737
758.5775750291842,-13.75068974952078,758.5775750291842,-78.15109273118662
1318.256738556408,-18.42645204985096,1318.256738556408,-83.11640195727487
2290.867652767775,-23.18451719490882,2290.867652767775,-86.02666727250583
3981.071705534976,-27.97054154155257,3981.071705534976,-87.71208883110691
6918.309709189371,-32.76590384320338,6918.309709189371,-88.68464133726302
12022.64434617414,-37.56436707958846,12022.64434617414,-89.24589559904591
20892.96130854042,-42.36385813402826,20892.96130854042,-89.571072029636
36307.80547701018,-47.16368972776632,36307.80547701018,-89.76191711543758
63095.73444801941,-51.96363436825645,63095.73444801941,-89.87818996275563
109647.8196143187,-56.76361726441058,109647.8196143187,-89.95630789495021
190546.071796325,-61.56361530797356,190546.071796325,-90.02073984171
331131.1214825916,-66.36362585566404,331131.1214825916,-90.09166828472495
575439.9373371578,-71.16366315807822,575439.9373371578,-90.19131044052749
1000000.000000002,-75.9637776119262,1000000.000000002,-90.35087600538441
1737800.828749378,-80.76412383612652,1737800.828749378,-90.62033543457382
3019951.720402021,-85.56516944676061,3019951.720402021,-91.08403153090134
5248074.602497734,-90.36832567861683,5248074.602497734,-91.88688308185623
9120108.393559111,-95.17784346839454,9120108.393559111,-93.27864925263555
15848931.92461116,-100.0064607754138,15848931.92461116,-95.68628593688983
27542287.03338171,-104.8917564350283,27542287.03338171,-99.81764540515529
47863009.23226392,-109.9396223961329,47863009.23226392,-106.7375159041192
83176377.11026727,-115.4123109683488,83176377.11026727,-117.5920017925922
144543977.074593,-121.7758049511559,144543977.074593,-132.2455301376024
251188643.1509585,-129.3929985125315,251188643.1509585,-147.6412947571152
436515832.2401669,-138.0692467745187,436515832.2401669,-159.9679578897041
758577575.0291854,-147.3142791631379,758577575.0291854,-168.150784594042
1318256738.55641,-156.7900409803959,1318256738.55641,-173.1159068318894
2290867652.767778,-166.3481059587211,2290867652.767778,-176.0258306575747
3981071705.534982,-175.9341302478235,3981071705.534982,-177.7106487823392
6918309709.189383,-185.5294925254543,6918309709.189383,-178.6821467954052
12022644346.17416,-195.1279557391182,12022644346.17416,-179.2415651762506
20892961308.54045,-204.727446741463,20892961308.54045,-179.5635492618053
36307805477.01023,-214.3272781833504,36307805477.01023,-179.7488455653065
63095734448.0195,-223.9272223670717,63095734448.0195,-179.8554750886858
109647819614.3188,-233.5272038844067,109647819614.3188,-179.9168344761115
190546071796.3253,-243.1271977642037,190546071796.3253,-179.9521432136646
331131121482.5921,-252.7271957376121,331131121482.5921,-179.9724612895864
575439937337.1587,-262.3271950665444,575439937337.1587,-179.9841531253891
1000000000000,-271.9271948443329,1000000000000,-179.9908810753114
