/MN0/D X,/MN0/D Y
0,5.11225983768582e-12
0.1,7.519577153623418e-12
0.2,6.069801934028503e-11
0.3,1.157764510811219e-09
0.4,1.930648858893497e-08
0.5,2.219026875533731e-07
0.6,1.35926548577526e-06
0.7,4.181620399922065e-06
0.7999999999999999,8.624044214872019e-06
0.8999999999999999,1.449193052853656e-05
0.9999999999999999,2.16765874593396e-05
1.1,3.009727186080223e-05
1.2,3.967799393546792e-05
1.3,5.034554978794398e-05
1.4,6.203095686852898e-05
1.5,7.467061702923801e-05
1.6,8.8207029829337e-05
1.7,0.0001025892412062866
1.8,0.0001177731271914377
1.900000000000001,0.0001337215459615603
2,0.0001504043653667029
2.100000000000001,0.0001677983651800092
2.200000000000001,0.0001858870116986753
2.300000000000001,0.0002046601027067811
2.400000000000001,0.0002241132819986569
2.500000000000001,0.0002442474244839706
2.600000000000001,0.0002650678954943009
2.700000000000001,0.0002865836915259694
2.800000000000001,0.0003088064745556044
2.900000000000001,0.0003317495185143744
3.000000000000001,0.0003554265947075709
3.100000000000001,0.0003798508329891437
3.200000000000002,0.0004050336071688749
3.300000000000002,0.0004309835058519213
3.400000000000002,0.0004577054624571212
3.500000000000002,0.000485200128392859
3.600000000000002,0.0005134635779627575
3.700000000000002,0.0005424874278465517
3.800000000000002,0.000572259432067766
3.900000000000002,0.0006027645689765672
4.000000000000002,0.0006339865654135904
4.100000000000001,0.0006659097058691471
4.200000000000001,0.0006985206631204696
4.300000000000001,0.0007318099898724166
4.4,0.0007657728725344896
4.5,0.0008004088112414985
4.6,0.0008357200499413732
4.699999999999999,0.0008717087136279459
4.799999999999999,0.0009083724235630419
4.899999999999999,0.000945697224900576
5,0.0009836444586623265
