/MN0/D (V_GS=0.5) X,/MN0/D (V_GS=0.5) Y,/MN0/D (V_GS=1.5) X,/MN0/D (V_GS=1.5) Y,/MN0/D (V_GS=2.5) X,/MN0/D (V_GS=2.5) Y,/MN0/D (V_GS=3.5) X,/MN0/D (V_GS=3.5) Y,/MN0/D (V_GS=4.5) X,/MN0/D (V_GS=4.5) Y
0,0,0,0,0,0,0,0,0,0
0.1,1.443022588047036e-07,0.1,1.645552460378805e-05,0.1,2.972406011118085e-05,0.1,3.785387823255528e-05,0.1,4.202219820252567e-05
0.2,1.490404704533299e-07,0.2,3.027037466419091e-05,0.2,5.733446070026667e-05,0.2,7.410981916857944e-05,0.2,8.287318357869023e-05
0.3,1.499351170428317e-07,0.3,4.145821107390734e-05,0.3,8.283672489036539e-05,0.3,0.0001087712736917414,0.3,0.0001225550680704399
0.4,1.503782827877114e-07,0.4,5.004218196872967e-05,0.4,0.0001062364824633138,0.4,0.0001418417023000961,0.4,0.000161069968383052
0.5,1.507048041761179e-07,0.5,5.607620322419742e-05,0.5,0.0001275395361492429,0.5,0.0001733245772186875,0.5,0.0001984200060799617
0.6,1.509882126102119e-07,0.6,5.972308663467813e-05,0.6,0.0001467519783920479,0.6,0.0002032233853248506,0.6,0.000234607307710551
0.7,1.512520414215636e-07,0.7,6.145948727166877e-05,0.7,0.0001638804065140715,0.7,0.0002315416322469394,0.7,0.0002696340049794705
0.7999999999999999,1.515056964547969e-07,0.7999999999999999,6.212540525185302e-05,0.7999999999999999,0.0001789323401641936,0.7999999999999999,0.0002582828481865983,0.7999999999999999,0.00030350223496865
0.8999999999999999,1.517535369483612e-07,0.8999999999999999,6.238810794156213e-05,0.8999999999999999,0.0001919170798502483,0.8999999999999999,0.0002834505963203081,0.8999999999999999,0.0003362141404266798
0.9999999999999999,1.519978098476346e-07,0.9999999999999999,6.251655360337901e-05,0.9999999999999999,0.0002028475898231023,0.9999999999999999,0.0003070484851402688,0.9999999999999999,0.0003677718701450067
1.1,1.522397710681388e-07,1.1,6.259440988372283e-05,1.1,0.0002117449088440976,1.1,0.0003290801869475702,1.1,0.0003981775794469795
1.2,1.524801729616874e-07,1.2,6.264963830389641e-05,1.2,0.0002186490510507945,1.2,0.0003495494661916819,1.2,0.0004274334308248653
1.3,1.527195058024512e-07,1.3,6.269319563295156e-05,1.3,0.0002236459906129949,1.3,0.0003684602239972879,1.3,0.0004555415947727906
1.4,1.529581436925933e-07,1.4,6.27300477542652e-05,1.4,0.0002269249736604312,1.4,0.0003858165700994202,1.4,0.000482504250881686
1.5,1.531964628014952e-07,1.5,6.276272200868661e-05,1.5,0.0002288448589682015,1.5,0.0004016229427084758,1.5,0.0005083235892884367
1.6,1.534349652372414e-07,1.6,6.279262643725811e-05,1.6,0.0002298859939863083,1.6,0.0004158843151848819,1.6,0.0005330018126093927
1.7,1.536744229724131e-07,1.7,6.282060354520241e-05,1.7,0.0002304585547646029,1.7,0.0004286065659571877,1.7,0.0005565411385444702
1.8,1.53916043664388e-07,1.8,6.284718819361101e-05,1.8,0.0002308018420977173,1.8,0.0004397971675854705,1.8,0.0005789438034219986
1.900000000000001,1.541616516929017e-07,1.900000000000001,6.28727406043494e-05,1.900000000000001,0.0002310302920405987,1.900000000000001,0.0004494665235374394,1.900000000000001,0.0006002120670822314
2,1.54413872886972e-07,2,6.289752529647665e-05,2,0.000231196841509678,2,0.0004576306587610996,2,0.0006203482196951021
2.100000000000001,1.546763098536125e-07,2.100000000000001,6.292176934835267e-05,2.100000000000001,0.0002313272463411291,2.100000000000001,0.0004643167588632691,2.100000000000001,0.0006393545914193012
2.200000000000001,1.549536958260022e-07,2.200000000000001,6.294571717694216e-05,2.200000000000001,0.0002314350044501032,2.200000000000001,0.0004695744079878842,2.200000000000001,0.0006572335663100748
2.300000000000001,1.552520175941114e-07,2.300000000000001,6.296969025077474e-05,2.300000000000001,0.0002315277233735883,2.300000000000001,0.0004734961671877551,2.300000000000001,0.0006739876027035797
2.400000000000001,1.555786014722128e-07,2.400000000000001,6.299415433137811e-05,2.400000000000001,0.0002316099726837094,2.400000000000001,0.0004762450873657152,2.400000000000001,0.0006896192636803276
2.500000000000001,1.559421596914996e-07,2.500000000000001,6.301979277988189e-05,2.500000000000001,0.0002316846499230361,2.500000000000001,0.0004780647412733683,2.500000000000001,0.0007041312635674625
2.600000000000001,1.563527976187417e-07,2.600000000000001,6.304758195598703e-05,2.600000000000001,0.0002317536830578518,2.600000000000001,0.0004792358888109341,2.600000000000001,0.0007175265405784192
2.700000000000001,1.568219845563011e-07,2.700000000000001,6.307886365613581e-05,2.700000000000001,0.0002318184248210697,2.700000000000001,0.0004800007952257174,2.700000000000001,0.0007298083731335552
2.800000000000001,1.573624925087557e-07,2.800000000000001,6.31154096270359e-05,2.800000000000001,0.000231879907535658,2.800000000000001,0.0004805242541080409,2.800000000000001,0.0007409805711151827
2.900000000000001,1.579883082540912e-07,2.900000000000001,6.315947408040018e-05,2.900000000000001,0.0002319390470638429,2.900000000000001,0.0004809038240224662,2.900000000000001,0.00075104779908579
3.000000000000001,1.587145244406177e-07,3.000000000000001,6.321383144260615e-05,3.000000000000001,0.0002319968446871445,3.000000000000001,0.0004811946137948629,3.000000000000001,0.0007600161376499731
3.100000000000001,1.595572153757368e-07,3.100000000000001,6.328179797969905e-05,3.100000000000001,0.0002320546108024471,3.100000000000001,0.0004814280714704044,3.100000000000001,0.0007678940828651699
3.200000000000002,1.605333028080767e-07,3.200000000000002,6.336723722169879e-05,3.200000000000002,0.0002321142161312838,3.200000000000002,0.0004816227982752656,3.200000000000002,0.0007746943568963041
3.300000000000002,1.616604164438709e-07,3.300000000000002,6.347455014564683e-05,3.300000000000002,0.0002321783630263414,3.300000000000002,0.0004817902843079204,3.300000000000002,0.0007804371919097141
3.400000000000002,1.629567532741457e-07,3.400000000000002,6.36086518179092e-05,3.400000000000002,0.0002322508614526732,3.400000000000002,0.0004819379364455447,3.400000000000002,0.0007851560927863571
3.500000000000002,1.644409390906192e-07,3.500000000000002,6.377493665061856e-05,3.500000000000002,0.0002323368910900405,3.500000000000002,0.0004820707226126544,3.500000000000002,0.0007889069690221819
3.600000000000002,1.661318948850436e-07,3.600000000000002,6.397923463366512e-05,3.600000000000002,0.0002324432318504124,3.600000000000002,0.0004821921101960798,3.600000000000002,0.0007917793699209066
3.700000000000002,1.680487101912037e-07,3.700000000000002,6.422776091486772e-05,3.700000000000002,0.0002325784486237371,3.700000000000002,0.0004823046510358897,3.700000000000002,0.0007939027353305202
3.800000000000002,1.70210524860164e-07,3.800000000000002,6.452706097120038e-05,3.800000000000002,0.0002327530209174528,3.800000000000002,0.0004824104094121983,3.800000000000002,0.0007954361063225267
3.900000000000002,1.726364202662574e-07,3.900000000000002,6.488395339233109e-05,3.900000000000002,0.0002329794131396469,3.900000000000002,0.0004825113498697099,3.900000000000002,0.0007965400237087708
4.000000000000002,1.753453205255395e-07,4.000000000000002,6.530547202495536e-05,4.000000000000002,0.0002332720858394974,4.000000000000002,0.000482609752423033,4.000000000000002,0.0007973487241693846
4.100000000000001,1.783559039675053e-07,4.100000000000001,6.579880893387406e-05,4.100000000000001,0.0002336474518500513,4.100000000000001,0.0004827086851035905,4.100000000000001,0.0007979594827623798
4.200000000000001,1.81686524828024e-07,4.200000000000001,6.637125934606435e-05,4.200000000000001,0.0002341237838377046,4.200000000000001,0.0004828125335428043,4.200000000000001,0.0007984371162697936
4.300000000000001,1.85355144920001e-07,4.300000000000001,6.70301694722567e-05,4.300000000000001,0.0002347210812941925,4.300000000000001,0.00048292756523672,4.300000000000001,0.0007988234088630895
4.4,1.89379274879803e-07,4.4,6.778288785585928e-05,4.4,0.0002354609056594126,4.4,0.0004830624935132727,4.4,0.0007991453037043516
4.5,1.937759244737518e-07,4.5,6.863672068596885e-05,4.5,0.0002363661922293927,4.5,0.0004832290026707481,4.5,0.0007994204887004257
4.6,1.985615613730284e-07,4.6,6.95988913310097e-05,4.6,0.0002374610469788371,4.6,0.000483442199400183,4.6,0.0007996608749788809
4.699999999999999,2.037520777592275e-07,4.699999999999999,7.067650420122408e-05,4.699999999999999,0.0002387705355870934,4.699999999999999,0.0004837209638351218,4.699999999999999,0.0007998747097489785
4.799999999999999,2.093627641016008e-07,4.799999999999999,7.187651292955274e-05,4.799999999999999,0.0002403204709441488,4.799999999999999,0.0004840881838270802,4.799999999999999,0.0008000678773185114
4.899999999999999,2.154082894441982e-07,4.899999999999999,7.3205692768225e-05,4.899999999999999,0.000242137204339851,4.899999999999999,0.0004845708662932212,4.899999999999999,0.0008002447482414901
5,2.219026875533728e-07,5,7.467061702923782e-05,5,0.0002442474244839703,5,0.0004852001283928584,5,0.0008004088112414969
