VN2() X,VN2() Y
1,2.732139204697326e-05
1.445439770745927,1.890246941145075e-05
2.089296130854039,1.307799796421666e-05
3.019951720402016,9.048448188001661e-06
4.365158322401658,6.260680801071344e-06
6.309573444801931,4.332016902051045e-06
9.120108393559095,2.997707370225443e-06
13.18256738556407,2.074590545141698e-06
19.05460717963247,1.435949494607205e-06
27.54228703338165,9.941174881746593e-07
39.81071705534971,6.88443917662585e-07
57.54399373371566,4.769687429688395e-07
83.17637711026705,3.306626050960436e-07
120.2264434617412,2.294419422886585e-07
173.7800828749374,1.594120988987517e-07
251.1886431509578,1.109599840344569e-07
363.0780547701011,7.743445285786649e-08
524.8074602497721,5.423325159887745e-08
758.5775750291831,3.817116927815775e-08
1096.478196143184,2.70426195848724e-08
1584.893192461112,1.931854542948041e-08
2290.867652767771,1.39359821808065e-08
3311.311214825907,1.015151535722774e-08
4786.300923226378,7.43949164556645e-09
6918.309709189358,5.424676751300704e-09
9999.999999999989,3.848644494209454e-09
14454.39770745926,2.570367810129075e-09
20892.96130854037,1.566713647176774e-09
30199.51720402012,8.643489363228999e-10
43651.58322401653,4.402892972917749e-10
63095.73444801923,2.136902846887728e-10
91201.08393559082,1.013927242245654e-10
131825.6738556405,4.775371090829655e-11
190546.0717963244,2.248576050221084e-11
275422.8703338162,1.061389814796414e-11
398107.1705534965,5.025231159856482e-12
575439.9373371558,2.385786521934818e-12
831763.7711026693,1.135205651880175e-12
1202264.43461741,5.410739688442835e-13
1737800.828749372,2.582167783672727e-13
2511886.431509574,1.23341620126359e-13
3630780.547701005,5.895644608061817e-14
5248074.602497714,2.819654716690153e-14
7585775.75029182,1.349286809784521e-14
10964781.96143182,6.46158934774328e-15
15848931.9246111,3.098415947495764e-15
22908676.52767767,1.489622941171675e-15
33113112.14825903,7.202552014731757e-16
47863009.23226371,3.52773585673695e-16
69183097.09189346,1.77722964620668e-16
100000000,9.393946807089874e-17
