v /net3; ac dB20(V) X,v /net3; ac dB20(V) Y,v /net3; ac deg(V) X,v /net3; ac deg(V) Y
1,0,1,-3.6e-07
1.99526231496888,-1.928654933106574e-15,1.99526231496888,-7.182944333887967e-07
3.981071705534974,-2.892982399659862e-15,3.981071705534974,-1.43318581399259e-06
7.943282347242819,-9.643274665532877e-15,7.943282347242819,-2.859581645007412e-06
15.84893192461115,-4.435906346145132e-14,15.84893192461115,-5.705615492859993e-06
31.62277660168382,-1.706859615799335e-13,31.62277660168382,-1.138419957660603e-05
63.0957344480194,-6.827438463197541e-13,63.0957344480194,-2.271446440128579e-05
125.8925411794169,-2.716510473281034e-12,125.8925411794169,-4.532131482458063e-05
251.1886431509584,-1.081782551980151e-11,251.1886431509584,-9.042791153426995e-05
501.1872336272731,-4.306686465637657e-11,501.1872336272731,-0.0001804274041052219
1000.000000000002,-1.714526019175338e-10,1000.000000000002,-0.0003599999999952633
1995.262314968884,-6.82565445765234e-10,1995.262314968884,-0.0007182944333511677
3981.071705534982,-2.717340759654366e-09,3981.071705534982,-0.001433185813693683
7943.282347242835,-1.081792774524288e-08,7943.282347242835,-0.002859581642633091
15848.93192461118,-4.306694190923578e-08,15848.93192461118,-0.005705615474000054
31622.77660168389,-1.714525843214615e-07,31622.77660168389,-0.01138419942679614
63095.73444801952,-6.825650000370265e-07,63095.73444801952,-0.02271446321130353
125892.5411794171,-2.717339564212551e-06,125892.5411794171,-0.04532130537221785
251188.6431509589,-1.081791356562123e-05,251188.6431509589,-0.09042783645156703
501187.2336272741,-4.30667297082651e-05,501187.2336272741,-0.1804268077047695
1000000.000000004,-0.0001714492049502244,1000000.000000004,-0.359995262702101
1995262.314968888,-0.0006825114191687985,1995262.314968888,-0.7182568063508413
3981071.705534989,-0.002716490661556924,3981071.705534989,-1.432887015787311
7943282.34724285,-0.01080447607662717,7943282.34724285,-2.85721085779559
15848931.92461121,-0.04285480720761634,15848931.92461121,-5.6868669500104
31622776.60168394,-0.1681547662791263,31622776.60168394,-11.23784098462421
63095734.44801964,-0.633958190331215,63095734.44801964,-21.62546366239166
125892541.1794174,-2.110379354805717,125892541.1794174,-38.34421417159521
251188643.1509593,-5.429398657226598,251188643.1509593,-57.64135696386788
501187233.627275,-10.38084618643534,501187233.627275,-72.38244928400353
1000000000.000006,-16.07223526580557,1000000000.000006,-80.95693892096236
1995262314.968891,-21.99114260867557,1995262314.968891,-85.43937670602963
3981071705.534997,-27.97053286680122,3981071705.534997,-87.71065335981567
7943282347.242865,-33.96534052781245,7943282347.242865,-88.85215127239898
15848931924.61124,-39.96403529512629,15848931924.61124,-89.42465523433101
31622776601.684,-45.9637073738465,31622776601.684,-89.71163729077389
63095734448.01975,-51.96362499985415,63095734448.01975,-89.85547537773478
125892541179.4176,-57.96360430819725,125892541179.4176,-89.92756598934029
251188643150.9598,-63.96359911067254,251188643150.9598,-89.96369698409477
501187233627.2759,-69.96359780511239,501187233627.2759,-89.98180539006293
1000000000000.007,-75.96359747717044,1000000000000.007,-89.99088109354918
1995262314968.895,-81.96359739479516,1995262314968.895,-89.99542972047333
3981071705535.003,-87.96359737410341,3981071705535.003,-89.99770943424348
7943282347242.878,-93.96359736890588,7943282347242.878,-89.9988519976846
15848931924611.26,-99.96359736760033,15848931924611.26,-89.99942463589528
31622776601684.05,-105.9635973672724,31622776601684.05,-89.99971163485603
63095734448019.86,-111.96359736719,63095734448019.86,-89.99985547507123
125892541179417.8,-117.9635973671693,125892541179417.8,-89.99992756595076
251188643150960.2,-123.9635973671641,251188643150960.2,-89.99996369697925
501187233627276.8,-129.9635973671628,501187233627276.8,-89.99998180538945
1000000000000000,-135.9635973671624,1000000000000000,-89.99999088109348
