freq (Hz),OUT (V)
1.000,2.847E3
1.514,2.847E3
2.291,2.847E3
3.467,2.847E3
5.248,2.847E3
7.943,2.847E3
12.02,2.847E3
18.20,2.846E3
27.54,2.845E3
41.69,2.842E3
63.10,2.836E3
95.50,2.821E3
144.5,2.789E3
218.8,2.718E3
331.1,2.575E3
501.2,2.316E3
758.6,1.932E3
1.148E3,1.484E3
1.738E3,1.065E3
2.630E3,733.2
3.981E3,493.7
6.026E3,329.0
9.120E3,218.2
13.80E3,144.4
20.89E3,95.47
31.62E3,63.10
47.86E3,41.69
72.44E3,27.54
109.6E3,18.19
166.0E3,12.01
251.2E3,7.921
380.2E3,5.213
575.4E3,3.413
871.0E3,2.210
1.318E6,1.399
1.995E6,853.1E-3
3.020E6,500.9E-3
4.571E6,291.0E-3
6.918E6,173.7E-3
10.47E6,108.4E-3
15.85E6,70.68E-3
23.99E6,48.23E-3
36.31E6,35.01E-3
54.95E6,27.87E-3
83.18E6,25.05E-3
125.9E6,25.37E-3
190.5E6,27.73E-3
288.4E6,30.71E-3
436.5E6,33.00E-3
660.7E6,33.95E-3
1.000E9,33.44E-3
